Date,Open,High,Low,Close,Adj Close,Volume
1992-12-18,87.293800,87.293800,87.293800,87.293800,32.322136,0
1992-12-21,86.370102,86.370102,86.370102,86.370102,31.980124,0
1992-12-22,88.448502,88.448502,88.448502,88.448502,32.749687,0
1992-12-23,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-24,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-25,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-28,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-29,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-30,87.755699,87.755699,87.755699,87.755699,32.493164,0
1992-12-31,88.217598,88.217598,88.217598,88.217598,32.664188,0
1993-01-01,88.217598,88.217598,88.217598,88.217598,32.664188,0
1993-01-04,89.834099,89.834099,89.834099,89.834099,33.262733,0
1993-01-05,89.141296,89.141296,89.141296,89.141296,33.006207,0
1993-01-06,87.524803,87.524803,87.524803,87.524803,32.407665,0
1993-01-07,87.524803,87.524803,87.524803,87.524803,32.407665,0
1993-01-08,85.215401,85.215401,85.215401,85.215401,31.552576,0
1993-01-11,84.753502,84.753502,84.753502,84.753502,31.381540,0
1993-01-12,85.908203,85.908203,85.908203,85.908203,31.809111,0
1993-01-13,84.753502,84.753502,84.753502,84.753502,31.381540,0
1993-01-14,86.370102,86.370102,86.370102,86.370102,31.980124,0
1993-01-15,86.370102,86.370102,86.370102,86.370102,31.980124,0
1993-01-18,86.370102,86.370102,86.370102,86.370102,31.980124,0
1993-01-19,87.293800,87.293800,87.293800,87.293800,32.322136,0
1993-01-20,91.681602,91.681602,91.681602,91.681602,33.946808,0
1993-01-21,95.145699,95.145699,95.145699,95.145699,35.229469,0
1993-01-22,95.376602,95.376602,95.376602,95.376602,35.314960,0
1993-01-25,95.838501,95.838501,95.838501,95.838501,35.485962,0
1993-01-26,100.457199,100.457199,100.457199,100.457199,37.196136,0
1993-01-27,99.995300,99.995300,99.995300,99.995300,37.025105,0
1993-01-28,99.533501,99.533501,99.533501,99.533501,36.854107,0
1993-01-29,96.993202,96.993202,96.993202,96.993202,35.913544,0
1993-02-01,100.688103,100.688103,100.688103,100.688103,37.281639,0
1993-02-02,101.380898,101.380898,101.380898,101.380898,37.538155,0
1993-02-03,105.999702,105.999702,105.999702,105.999702,39.248344,0
1993-02-04,102.766602,102.766602,102.766602,102.766602,38.051235,0
1993-02-05,99.071602,99.071602,99.071602,99.071602,36.683098,0
1993-02-08,100.226303,100.226303,100.226303,100.226303,37.110657,0
1993-02-09,97.455002,97.455002,97.455002,97.455002,36.084507,0
1993-02-10,96.300400,96.300400,96.300400,96.300400,35.657017,0
1993-02-11,95.838501,95.838501,95.838501,95.838501,35.485962,0
1993-02-12,100.457199,100.457199,100.457199,100.457199,37.196136,0
1993-02-15,103.228401,103.228401,103.228401,103.228401,38.222214,0
1993-02-16,100.457199,100.457199,100.457199,100.457199,37.196136,0
1993-02-17,99.533501,99.533501,99.533501,99.533501,36.854107,0
1993-02-18,100.919098,100.919098,100.919098,100.919098,37.367161,0
1993-02-19,102.073799,102.073799,102.073799,102.073799,37.794720,0
1993-02-22,103.690300,103.690300,103.690300,103.690300,38.393250,0
1993-02-23,98.840698,98.840698,98.840698,98.840698,36.597603,0
1993-02-24,97.916901,97.916901,97.916901,97.916901,36.255550,0
1993-02-25,96.993202,96.993202,96.993202,96.993202,35.913544,0
1993-02-26,97.916901,97.916901,97.916901,97.916901,36.255550,0
1993-03-01,98.147797,98.147797,98.147797,98.147797,36.341042,0
1993-03-02,99.764397,99.764397,99.764397,99.764397,36.939610,0
1993-03-03,99.995300,99.995300,99.995300,99.995300,37.025105,0
1993-03-04,90.526901,90.526901,90.526901,90.526901,33.519253,0
1993-03-05,94.221901,94.221901,94.221901,94.221901,34.887402,0
1993-03-08,97.224098,97.224098,97.224098,97.224098,35.999016,0
1993-03-09,95.376602,95.376602,95.376602,95.376602,35.314960,0
1993-03-10,94.914703,94.914703,94.914703,94.914703,35.143921,0
1993-03-11,95.145699,95.145699,95.145699,95.145699,35.229469,0
1993-03-12,95.607498,95.607498,95.607498,95.607498,35.400440,0
1993-03-15,93.760101,93.760101,93.760101,93.760101,35.226933,0
1993-03-16,92.374397,92.374397,92.374397,92.374397,34.706322,0
1993-03-17,93.529099,93.529099,93.529099,93.529099,35.140141,0
1993-03-18,95.145699,95.145699,95.145699,95.145699,35.747543,0
1993-03-19,98.147797,98.147797,98.147797,98.147797,36.875469,0
1993-03-22,95.145699,95.145699,95.145699,95.145699,35.747543,0
1993-03-23,94.683800,94.683800,94.683800,94.683800,35.574001,0
1993-03-24,95.838501,95.838501,95.838501,95.838501,36.007816,0
1993-03-25,95.607498,95.607498,95.607498,95.607498,35.921036,0
1993-03-26,95.145699,95.145699,95.145699,95.145699,35.747543,0
1993-03-29,95.607498,95.607498,95.607498,95.607498,35.921036,0
1993-03-30,96.069397,96.069397,96.069397,96.069397,36.094574,0
1993-03-31,96.762199,96.762199,96.762199,96.762199,36.354874,0
1993-04-01,95.376602,95.376602,95.376602,95.376602,35.834297,0
1993-04-02,95.838501,95.838501,95.838501,95.838501,36.007816,0
1993-04-05,93.529099,93.529099,93.529099,93.529099,35.140141,0
1993-04-06,92.836304,92.836304,92.836304,92.836304,34.879860,0
1993-04-07,93.990997,93.990997,93.990997,93.990997,35.313702,0
1993-04-08,93.760101,93.760101,93.760101,93.760101,35.226933,0
1993-04-09,93.760101,93.760101,93.760101,93.760101,35.226933,0
1993-04-12,93.760101,93.760101,93.760101,93.760101,35.226933,0
1993-04-13,94.683800,94.683800,94.683800,94.683800,35.574001,0
1993-04-14,94.914703,94.914703,94.914703,94.914703,35.660744,0
1993-04-15,93.990997,93.990997,93.990997,93.990997,35.313702,0
1993-04-16,94.221901,94.221901,94.221901,94.221901,35.400455,0
1993-04-19,95.607498,95.607498,95.607498,95.607498,35.921036,0
1993-04-20,98.609703,98.609703,98.609703,98.609703,37.049004,0
1993-04-21,99.995300,99.995300,99.995300,99.995300,37.569592,0
1993-04-22,99.995300,99.995300,99.995300,99.995300,37.569592,0
1993-04-23,101.611900,101.611900,101.611900,101.611900,38.176971,0
1993-04-26,99.533501,99.533501,99.533501,99.533501,37.396076,0
1993-04-27,101.150002,101.150002,101.150002,101.150002,38.003433,0
1993-04-28,99.302498,99.302498,99.302498,99.302498,37.309299,0
1993-04-29,97.455002,97.455002,97.455002,97.455002,36.615158,0
1993-04-30,99.071602,99.071602,99.071602,99.071602,37.222553,0
1993-05-03,99.071602,99.071602,99.071602,99.071602,37.222553,0
1993-05-04,99.302498,99.302498,99.302498,99.302498,37.309299,0
1993-05-05,98.840698,98.840698,98.840698,98.840698,37.135803,0
1993-05-06,96.993202,96.993202,96.993202,96.993202,36.441681,0
1993-05-07,97.224098,97.224098,97.224098,97.224098,36.528419,0
1993-05-10,97.916901,97.916901,97.916901,97.916901,36.788715,0
1993-05-11,99.302498,99.302498,99.302498,99.302498,37.309299,0
1993-05-12,100.457199,100.457199,100.457199,100.457199,37.743134,0
1993-05-13,99.302498,99.302498,99.302498,99.302498,37.309299,0
1993-05-14,100.457199,100.457199,100.457199,100.457199,37.743134,0
1993-05-17,101.380898,101.380898,101.380898,101.380898,38.090183,0
1993-05-18,102.997498,102.997498,102.997498,102.997498,38.697575,0
1993-05-19,103.459396,103.459396,103.459396,103.459396,38.871113,0
1993-05-20,106.230598,106.230598,106.230598,106.230598,39.912285,0
1993-05-21,105.537804,105.537804,105.537804,105.537804,39.651997,0
1993-05-24,105.537804,105.537804,105.537804,105.537804,39.651997,0
1993-05-25,105.537804,105.537804,105.537804,105.537804,39.651997,0
1993-05-26,105.999702,105.999702,105.999702,105.999702,39.825527,0
1993-05-27,105.999702,105.999702,105.999702,105.999702,39.825527,0
1993-05-28,105.768700,105.768700,105.768700,105.768700,39.738739,0
1993-05-31,105.768700,105.768700,105.768700,105.768700,39.738739,0
1993-06-01,105.306900,105.306900,105.306900,105.306900,39.565220,0
1993-06-02,107.847198,107.847198,107.847198,107.847198,40.519657,0
1993-06-03,106.461502,106.461502,106.461502,106.461502,39.999043,0
1993-06-04,105.537804,105.537804,105.537804,105.537804,39.651997,0
1993-06-07,105.999702,105.999702,105.999702,105.999702,39.825527,0
1993-06-08,105.999702,105.999702,105.999702,105.999702,39.825527,0
1993-06-09,106.692497,106.692497,106.692497,106.692497,40.085827,0
1993-06-10,107.385300,107.385300,107.385300,107.385300,40.346115,0
1993-06-11,107.847198,107.847198,107.847198,107.847198,40.519657,0
1993-06-14,107.385300,107.385300,107.385300,107.385300,40.346115,0
1993-06-15,107.385300,107.385300,107.385300,107.385300,40.346115,0
1993-06-16,107.385300,107.385300,107.385300,107.385300,40.346115,0
1993-06-17,106.692497,106.692497,106.692497,106.692497,40.085827,0
1993-06-18,107.154404,107.154404,107.154404,107.154404,40.259369,0
1993-06-21,107.154404,107.154404,107.154404,107.154404,40.259369,0
1993-06-22,107.385300,107.385300,107.385300,107.385300,40.346115,0
1993-06-23,107.847198,107.847198,107.847198,107.847198,40.519657,0
1993-06-24,107.847198,107.847198,107.847198,107.847198,40.519657,0
1993-06-25,107.616203,107.616203,107.616203,107.616203,40.432880,0
1993-06-28,108.540001,108.540001,108.540001,108.540001,40.779945,0
1993-06-29,109.001801,109.001801,109.001801,109.001801,40.953449,0
1993-06-30,111.542099,111.542099,111.542099,111.542099,41.907883,0
